symbol	ensg	cell_type	baseMean	log2FoldChange	pvalue	padj
AL592295.1	ENSG00000215840	lBaso	30.3	1.3	2.194e-4	0.007428
ASIC4	ENSG00000072182	lBaso	103.7	-4.5	2.993e-4	0.00749
SEC24B-AS1	ENSG00000247950	lBaso	42.1	1.7	3.002e-4	0.007501
PYGL	ENSG00000100504	lBaso	1242.7	1.2	2.397e-4	0.007503
WNK2	ENSG00000165238	lBaso	22.3	-3.5	3.042e-4	0.007577
AL050341.2	ENSG00000259943	lBaso	177.2	0.9	3.061e-4	0.007611
RPSAP12	ENSG00000240087	lBaso	28.7	1.6	3.093e-4	0.007678
CD3EAP	ENSG00000117877	lBaso	407.2	-0.9	2.903e-4	0.007699
ZNF83	ENSG00000167766	lBaso	896.7	0.8	2.803e-4	0.007699
AMT	ENSG00000145020	lBaso	389.4	1	2.918e-4	0.007722
AC139530.2	ENSG00000262660	lBaso	98.9	10	3.824e-4	0.007739
ABCF2	ENSG00000033050	lBaso	1916.3	-0.6	2.681e-4	0.007742
MRPS10	ENSG00000048544	lBaso	2038	0.7	2.692e-4	0.007762
PES1	ENSG00000100029	lBaso	4260.2	-0.5	2.591e-4	0.007785
A2ML1	ENSG00000166535	lBaso	40.3	1.6	3.211e-4	0.007785
AHDC1	ENSG00000126705	lBaso	547.1	-1.4	3.464e-4	0.008061
ARHGEF37	ENSG00000183111	lBaso	2646	1.3	2.815e-4	0.008066
PARP15	ENSG00000173200	lBaso	445.5	1	3.131e-4	0.008178
AC025171.1	ENSG00000177738	lBaso	415.9	0.6	3.501e-4	0.008272
HERC4	ENSG00000148634	lBaso	1556.5	0.7	2.909e-4	0.008293
ARHGEF3	ENSG00000163947	lBaso	355.9	2.2	3.336e-4	0.008353
PDGFA	ENSG00000197461	lBaso	68.6	1.7	3.346e-4	0.008363
DUSP2	ENSG00000158050	lBaso	1165.5	-2	2.8e-4	0.008443
SOCS6	ENSG00000170677	lBaso	423.8	1	3.501e-4	0.008443
AC023906.1	ENSG00000242327	lBaso	13.3	2.3	1.568e-4	0.008443
PI4KA	ENSG00000241973	lBaso	4615.9	-0.7	2.798e-4	0.008484
S100A3	ENSG00000188015	lBaso	38	2	3.584e-4	0.008523
AC044810.1	ENSG00000241008	lBaso	6.7	4	8.124e-5	0.008558
SLCO2B1	ENSG00000137491	lBaso	241.3	-5.3	3.766e-4	0.008745
A2M	ENSG00000175899	lBaso	20.7	-5.9	3.462e-4	0.008745
AC020983.1	ENSG00000243099	lBaso	6.2	3.8	1.073e-4	0.008745
DDX21	ENSG00000165732	lBaso	10408.6	-0.9	6.125e-5	0.008785
ADGRG1	ENSG00000205336	lBaso	1452.7	1.2	3.244e-4	0.008819
RPS17P5	ENSG00000060303	lBaso	10.1	2.2	1.595e-4	0.008842
PYGO1	ENSG00000171016	lBaso	212.4	-2.2	6.518e-4	0.008911
CEP70	ENSG00000114107	lBaso	659	0.8	3.895e-4	0.008949
AC098487.1	ENSG00000248161	lBaso	64.2	1	3.666e-4	0.008949
HGS	ENSG00000185359	lBaso	3365.2	-0.5	3.395e-4	0.009157
ACLY	ENSG00000131473	lBaso	10090.6	-0.6	2.919e-4	0.009182
AC093323.1	ENSG00000170846	lBaso	647.4	0.7	3.797e-4	0.009227
HMGXB3	ENSG00000113716	lBaso	2405.9	-0.7	2.32e-4	0.009312
FSD1L	ENSG00000106701	lBaso	153.5	1	3.877e-4	0.009392
SETD1A	ENSG00000099381	lBaso	4703.1	-0.7	3.25e-4	0.009393
IAH1	ENSG00000134330	lBaso	1154.6	0.7	3.203e-4	0.009393
RPL5P17	ENSG00000243859	lBaso	12.4	2.2	1.325e-4	0.009393
TFPI	ENSG00000003436	lBaso	1154.7	1.4	3.433e-4	0.009398
BCAR1	ENSG00000050820	lBaso	292.7	-1.9	4.185e-4	0.009437
MAP1A	ENSG00000166963	lBaso	2850.8	-1.4	3.559e-4	0.009437
TRIM26	ENSG00000234127	lBaso	523.5	-0.7	4.054e-4	0.009437
NBPF9	ENSG00000269713	lBaso	402.7	1	4.315e-4	0.009506
NBPF9	ENSG00000269713	lBaso	402.7	1	4.315e-4	0.009506
FAM177A1	ENSG00000151327	lBaso	605.1	0.6	4.15e-4	0.009598
GSTA4	ENSG00000170899	lBaso	135.3	0.9	4.157e-4	0.009599
HOXA5	ENSG00000106004	lBaso	489.6	1.8	4.294e-4	0.009606
VWA2	ENSG00000165816	lBaso	29	4.5	3.954e-4	0.009624
JUND	ENSG00000130522	lBaso	14966.3	-1.7	3.142e-4	0.00963
URB2	ENSG00000135763	lBaso	1076.2	-0.7	3.379e-4	0.009728
CACTIN	ENSG00000105298	lBaso	1020.5	-0.7	3.727e-4	0.009745
PLAGL2	ENSG00000126003	lBaso	3117.8	-0.8	3.731e-4	0.009745
POM121	ENSG00000196313	lBaso	4695.8	-0.7	3.387e-4	0.009747
RFX1	ENSG00000132005	lBaso	1539.8	-1	3.467e-4	0.009847
STAT3	ENSG00000168610	lBaso	4437.1	-0.7	3.782e-4	0.009847
TMEM106A	ENSG00000184988	lBaso	161	-1.3	4.558e-4	0.009847
EIF3LP2	ENSG00000233837	lBaso	17.9	1.7	4.383e-4	0.009847
AC018475.1	ENSG00000241556	lBaso	35.2	2.5	4.11e-4	0.009854
AC011979.1	ENSG00000239470	lBaso	24.6	2.3	5.759e-4	0.009899
KIF21B	ENSG00000116852	lBaso	824.9	2.1	3.969e-4	0.00996
AC010186.2	ENSG00000256594	lBaso	129.1	1.2	4.29e-4	0.00999
IGF2BP3	ENSG00000136231	CFUE	1123.2	-7.3	1.047e-68	1.928e-64
IGF2BP1	ENSG00000159217	CFUE	1402.6	-9.4	1.22e-44	1.084e-40
IFI44	ENSG00000137965	CFUE	134.7	3.9	5.577e-25	2.722e-21
MMP9	ENSG00000100985	CFUE	115.6	-21	1.015e-24	3.629e-21
LIN28B	ENSG00000187772	CFUE	223.3	-8.4	3.943e-23	8.014e-20
PRR34-AS1	ENSG00000241990	CFUE	140.1	6.2	3.913e-23	8.014e-20
KIF21A	ENSG00000139116	CFUE	500.3	3.4	1.386e-21	2.832e-18
RXFP1	ENSG00000171509	CFUE	34.2	5.6	8.405e-21	1.281e-17
DDO	ENSG00000203797	CFUE	41.5	6.4	4.068e-20	5.512e-17
SELENOP	ENSG00000250722	CFUE	470.1	4.2	6.957e-18	1.019e-14
KIF26A	ENSG00000066735	CFUE	2848.2	5.6	7.64e-17	1.821e-13
CSF1R	ENSG00000182578	CFUE	77.3	-8.1	1.521e-14	1.409e-11
CD93	ENSG00000125810	CFUE	184.4	-5.1	4.44e-14	4.885e-11
JAML	ENSG00000160593	CFUE	206.4	-6.1	4.482e-13	4.578e-10
CDK14	ENSG00000058091	CFUE	156	3.1	8.878e-13	6.578e-10
MEG3	ENSG00000214548	CFUE	257.2	-5.7	8.13e-13	7.44e-10
ARID3A	ENSG00000116017	CFUE	5641.6	-1.7	1.315e-12	1.271e-9
TNXB	ENSG00000168477	CFUE	7169.5	3.5	1.705e-12	1.744e-9
VCAN	ENSG00000038427	CFUE	78.7	-6.1	1.255e-11	9.669e-9
FGL2	ENSG00000127951	CFUE	58.1	-5.2	2.11e-11	1.173e-8
UBE2E2	ENSG00000182247	CFUE	90.5	-2.7	2.556e-11	1.353e-8
RAB31	ENSG00000168461	CFUE	231.4	-2	4.255e-11	2.766e-8
HMGA2	ENSG00000149948	CFUE	843.8	-2.6	4.701e-11	3.55e-8
SIGLEC10	ENSG00000142512	CFUE	303.1	-2.2	1.146e-10	6.253e-8
ABCA3	ENSG00000167972	CFUE	113.9	2.4	1.14e-10	6.253e-8
LILRA5	ENSG00000187116	CFUE	30	-5.7	1.12e-10	6.253e-8
MRC1	ENSG00000260314	CFUE	82	-6.1	1.17e-10	6.253e-8
CD101	ENSG00000134256	CFUE	12.2	-6.8	1.257e-10	1.398e-7
SPTLC3	ENSG00000172296	CFUE	29.9	5.2	3.146e-10	1.551e-7
ABI3	ENSG00000108798	CFUE	128.1	-4.9	3.307e-10	1.591e-7
SLC22A16	ENSG00000004809	CFUE	1058.3	2.8	3.031e-10	1.698e-7
MAGI1	ENSG00000151276	CFUE	44.1	-2.2	5.75e-10	2.594e-7
NEGR1	ENSG00000172260	CFUE	83.9	4.1	1.189e-9	5.201e-7
HBM	ENSG00000206177	CFUE	13622	4.2	1.035e-9	5.411e-7
SERPINB6	ENSG00000124570	CFUE	2231.4	-1.7	1.164e-9	5.777e-7
MGLL	ENSG00000074416	CFUE	666.6	2.1	1.595e-9	8.157e-7
IRF8	ENSG00000140968	CFUE	269.7	-4.7	2.115e-9	8.254e-7
CLEC7A	ENSG00000172243	CFUE	28.2	-5.2	1.817e-9	1.015e-6
CEACAM1	ENSG00000079385	CFUE	25.6	3.8	2.445e-9	1.33e-6
HOMER1	ENSG00000152413	CFUE	88.6	-2.5	5.026e-9	1.797e-6
FBN2	ENSG00000138829	CFUE	100.8	-6.4	6.54e-9	1.945e-6
ROBO1	ENSG00000169855	CFUE	471.3	-1.8	1.026e-8	3.174e-6
ADCY9	ENSG00000162104	CFUE	50.5	2	1.248e-8	3.539e-6
IFIT5	ENSG00000152778	CFUE	951.2	1.9	1.204e-8	3.723e-6
AKR1C3	ENSG00000196139	CFUE	1445.3	2.5	9.647e-9	3.723e-6
APOL3	ENSG00000128284	CFUE	6447.7	1.9	1.047e-8	3.87e-6
CD180	ENSG00000134061	CFUE	24.3	-6	7.911e-9	3.87e-6
AC068580.4	ENSG00000250644	CFUE	288.8	2.1	1.524e-8	3.871e-6
NEURL1B	ENSG00000214357	CFUE	617.1	3.5	1.152e-8	4.33e-6
CRYBG3	ENSG00000080200	CFUE	45.7	-2.2	2.33e-8	5.119e-6
PRKG2	ENSG00000138669	CFUE	138.4	3.4	1.783e-8	5.119e-6
VWA2	ENSG00000165816	CFUE	29	4.8	1.418e-8	6.08e-6
LRRK2	ENSG00000188906	CFUE	33.3	-5.6	2.417e-8	6.677e-6
CLEC10A	ENSG00000132514	CFUE	44.3	-7.1	2.494e-8	6.761e-6
FARP1	ENSG00000152767	CFUE	134.4	-2.7	3.407e-8	6.885e-6
NAPSB	ENSG00000131401	CFUE	22.7	-6.6	1.805e-8	7.183e-6
MARCKS	ENSG00000277443	CFUE	418.2	-4.6	3.831e-8	8.733e-6
SARM1	ENSG00000004139	CFUE	109.6	2.5	3.584e-8	8.922e-6
LY86	ENSG00000112799	CFUE	28	-8.1	2.657e-8	9.847e-6
IGSF6	ENSG00000140749	CFUE	44.7	-4.4	5.343e-8	9.847e-6
SLITRK5	ENSG00000165300	CFUE	33.7	4.2	4.161e-8	9.847e-6
TNFAIP6	ENSG00000123610	CFUE	42.1	4.5	4.411e-8	1.025e-5
HLA-F	ENSG00000204642	CFUE	170.9	2.1	4.405e-8	1.025e-5
PSTPIP1	ENSG00000140368	CFUE	91.9	-3.7	6.158e-8	1.409e-5
AL023775.1	ENSG00000235008	CFUE	14.7	-7.3	2.667e-8	1.451e-5
NCF2	ENSG00000116701	CFUE	108.2	-4.8	8.736e-8	1.614e-5
IPCEF1	ENSG00000074706	CFUE	17.9	-5	5.047e-8	1.687e-5
IL15	ENSG00000164136	CFUE	41.6	2.1	9.589e-8	2.017e-5
HRH2	ENSG00000113749	CFUE	85.6	-3.4	1.185e-7	2.094e-5
SCIMP	ENSG00000161929	CFUE	10.4	-4.7	5.559e-8	2.122e-5
AC129492.3	ENSG00000263620	CFUE	53.3	9.5	1.673e-7	2.619e-5
PDE3A	ENSG00000172572	CFUE	85.2	-2.9	1.552e-7	2.63e-5
EPB41L3	ENSG00000082397	CFUE	125.1	-3.4	1.381e-7	2.705e-5
FGD2	ENSG00000146192	CFUE	25.3	-3.9	9.15e-8	2.806e-5
MAGI3	ENSG00000081026	CFUE	232.3	-1.8	1.523e-7	2.931e-5
IGIP	ENSG00000182700	CFUE	58.8	1.6	2.262e-7	3.629e-5
EMP1	ENSG00000134531	CFUE	103.2	-3.7	2.111e-7	4.014e-5
CD34	ENSG00000174059	CFUE	3547	2.2	1.923e-7	4.25e-5
NFAM1	ENSG00000235568	CFUE	56.8	-3.5	2.753e-7	4.25e-5
PRAM1	ENSG00000133246	CFUE	366.4	-2.7	3.216e-7	5.749e-5
SLC8A1	ENSG00000183023	CFUE	20.9	-5.9	2.091e-7	5.859e-5
AC112191.2	ENSG00000254373	CFUE	294.1	2.5	3.554e-7	6.199e-5
AC008622.2	ENSG00000275719	CFUE	335.5	-3	4.123e-7	6.455e-5
MS4A2	ENSG00000149534	CFUE	81.5	2.9	5.535e-7	8.036e-5
GPR183	ENSG00000169508	CFUE	172.6	-4	4.675e-7	8.053e-5
FBLN1	ENSG00000077942	CFUE	105	-4.2	5.78e-7	8.061e-5
CD1D	ENSG00000158473	CFUE	23	-3.3	3.126e-7	8.061e-5
DLK1	ENSG00000185559	CFUE	108.2	-4.7	5.811e-7	8.061e-5
CD1C	ENSG00000158481	CFUE	25.7	-7.7	3.592e-7	8.964e-5
TUBB6	ENSG00000176014	CFUE	5794.1	-0.9	4.559e-7	8.964e-5
PRKG1	ENSG00000185532	CFUE	23.5	3.3	3.676e-7	8.964e-5
SLC2A3P1	ENSG00000253861	CFUE	76.9	-23.7	5.766e-7	8.964e-5
RRAS2	ENSG00000133818	CFUE	342.1	-2.1	5.928e-7	9.333e-5
CSF3R	ENSG00000119535	CFUE	1490.9	-2.7	3.46e-7	9.653e-5
ATP10A	ENSG00000206190	CFUE	295.8	-3.3	6.327e-7	9.752e-5
PLD4	ENSG00000166428	CFUE	201.6	-4.3	7.983e-7	1.014e-4
PNMT	ENSG00000141744	CFUE	198.4	-2.1	8.536e-7	1.073e-4
PXDN	ENSG00000130508	CFUE	461.8	-3.6	8.016e-7	1.115e-4
GLIPR1	ENSG00000139278	CFUE	352.6	-2.5	8.36e-7	1.151e-4
TBC1D3E	ENSG00000278599	CFUE	30.4	40.7	7.889e-7	1.155e-4
FGR	ENSG00000000938	CFUE	107.7	-3.2	9.478e-7	1.316e-4
SULF2	ENSG00000196562	CFUE	36.9	-4.6	9.245e-7	1.316e-4
AC027309.1	ENSG00000253445	CFUE	26.1	3.3	5.945e-7	1.316e-4
SLC15A3	ENSG00000110446	CFUE	23.1	-5.6	6.214e-7	1.332e-4
LAMC1	ENSG00000135862	CFUE	628	-1.9	1.141e-6	1.481e-4
IFI27	ENSG00000165949	CFUE	1815.5	2.9	9.28e-7	1.556e-4
ARHGEF37	ENSG00000183111	CFUE	2646	1.8	6.708e-7	1.644e-4
PLBD1	ENSG00000121316	CFUE	39.8	-4.8	1.241e-6	1.659e-4
ANO5	ENSG00000171714	CFUE	38	4	1.242e-6	1.669e-4
BMP2	ENSG00000125845	CFUE	29	4.4	9.103e-7	1.756e-4
ESRRG	ENSG00000196482	CFUE	24	-4.8	9.595e-7	1.834e-4
MEG8	ENSG00000225746	CFUE	12.7	-5.2	6.5180000000000005e-07	2.058e-4
PRKD1	ENSG00000184304	CFUE	26.6	5.1	1.038e-6	2.085e-4
MNDA	ENSG00000163563	CFUE	50.1	-3.9	2.795e-6	2.725e-4
LILRA2	ENSG00000239998	CFUE	111.8	-1.9	2.189e-6	2.749e-4
HDAC9	ENSG00000048052	CFUE	97.1	-3	2.351e-6	2.898e-4
LILRA1	ENSG00000104974	CFUE	16.7	-4.9	1.55e-6	2.967e-4
TPGS1	ENSG00000141933	CFUE	414.8	3.3	2.618e-6	3.249e-4
CTSG	ENSG00000100448	CFUE	219.1	-3	2.701e-6	3.276e-4
LILRB2	ENSG00000131042	CFUE	76.2	-5.7	2.76e-6	3.29e-4
ARAP3	ENSG00000120318	CFUE	52.3	-3.1	3.403e-6	3.43e-4
COL18A1	ENSG00000182871	CFUE	3283.5	2	2.486e-6	3.734e-4
IRS2	ENSG00000185950	CFUE	7416.7	1.3	2.584e-6	3.734e-4
PRKCE	ENSG00000171132	CFUE	127.8	1.8	3.374e-6	3.891e-4
CLIP4	ENSG00000115295	CFUE	560.7	1.6	4.347e-6	4.731e-4
SH3TC1	ENSG00000125089	CFUE	344.2	-2.6	4.168e-6	4.731e-4
AC084024.3	ENSG00000253356	CFUE	6.8	19.7	6.197e-7	4.981e-4
ALDH1A1	ENSG00000165092	CFUE	2613.8	1.7	1.76e-6	5.014e-4
HNMT	ENSG00000150540	CFUE	16.3	-3.7	2.979e-6	5.241e-4
CD300LB	ENSG00000178789	CFUE	18.6	-4.8	3.013e-6	5.261e-4
FCN1	ENSG00000085265	CFUE	130.9	-6.3	6.218e-6	5.275e-4
LILRB1	ENSG00000104972	CFUE	19	-4.1	3.663e-6	5.843e-4
CD96	ENSG00000153283	CFUE	48.1	2.8	6.352e-6	5.843e-4
ETNPPL	ENSG00000164089	CFUE	5	-6.7	8.624e-7	6.57e-4
PRR34	ENSG00000182257	CFUE	7.1	4	1.346e-6	6.75e-4
MIR3936HG	ENSG00000233006	CFUE	54.5	1.4	7.113e-6	7.48e-4
MS4A7	ENSG00000166927	CFUE	17.7	-6.8	4.515e-6	7.717e-4
SATB1-AS1	ENSG00000228956	CFUE	115.8	1.3	9.582e-6	7.717e-4
IL10RA	ENSG00000110324	CFUE	391.8	-3.8	7.581e-6	7.8e-4
GNGT2	ENSG00000167083	CFUE	39.3	-5.9	7.81e-6	8.054e-4
SLC4A1	ENSG00000004939	CFUE	510513.3	2.6	6.658e-6	8.694e-4
IER5	ENSG00000162783	CFUE	4307	1	7.604e-6	9.301e-4
BX322639.1	ENSG00000215146	CFUE	30.3	-2.3	9.273e-6	9.495e-4
CD86	ENSG00000114013	CFUE	29.8	-3.8	1.255e-5	9.652e-4
C19orf38	ENSG00000214212	CFUE	293.2	-1.9	1.148e-5	9.652e-4
KLF4	ENSG00000136826	CFUE	336.8	-3.9	9.88e-6	9.769e-4
NFIX	ENSG00000008441	CFUE	7699.6	1.4	9.304e-6	0.00104
ADA2	ENSG00000093072	CFUE	307	-4.2	1.275e-5	0.001051
HCK	ENSG00000101336	CFUE	112.7	-4.2	1.136e-5	0.001091
LILRB4	ENSG00000186818	CFUE	16.1	-4.2	7.416e-6	0.001102
FPR1	ENSG00000171051	CFUE	190.2	-4.8	1.154e-5	0.001119
TIAM1	ENSG00000156299	CFUE	103.5	-1.8	1.162e-5	0.001119
ZNF486	ENSG00000256229	CFUE	172.2	-2.1	1.636e-5	0.001188
RTP4	ENSG00000136514	CFUE	32.7	1.9	1.263e-5	0.001201
MPEG1	ENSG00000197629	CFUE	96.8	-6.4	1.313e-5	0.001223
TLR2	ENSG00000137462	CFUE	73.8	-3	1.366e-5	0.001264
PALD1	ENSG00000107719	CFUE	77.9	-3.9	1.816e-5	0.001277
ACTA2	ENSG00000107796	CFUE	268.1	1.7	1.827e-5	0.001277
IFIT1B	ENSG00000204010	CFUE	32215	4.7	5.533e-6	0.001277
FCGRT	ENSG00000104870	CFUE	1665.5	1.5	1.17e-5	0.001292
LPAR6	ENSG00000139679	CFUE	103.5	-3.4	1.414e-5	0.001292
CLC	ENSG00000105205	CFUE	1069.9	3.1	1.147e-5	0.001304
CHD7	ENSG00000171316	CFUE	703.6	-2	8.652e-6	0.001392
INPP5A	ENSG00000068383	CFUE	257.2	-0.8	1.639e-5	0.001463
DOCK8	ENSG00000107099	CFUE	2443.8	-0.9	9.32e-6	0.001472
NLRP3	ENSG00000162711	CFUE	243.1	-2.7	2.195e-5	0.001472
LIN7A	ENSG00000111052	CFUE	30.3	3.3	1.72e-5	0.001487
FAM107B	ENSG00000065809	CFUE	529.6	-1.2	1.949e-5	0.001505
TGFBI	ENSG00000120708	CFUE	56.6	-4.8	1.778e-5	0.001505
CAMK2D	ENSG00000145349	CFUE	92.7	-2.8	1.783e-5	0.001536
EPX	ENSG00000121053	CFUE	1360.9	-3.6	1.446e-5	0.001557
MPP7	ENSG00000150054	CFUE	482.9	1	2.106e-5	0.001591
ARHGEF11	ENSG00000132694	CFUE	305.1	-1.1	1.957e-5	0.001608
SRRM1	ENSG00000133226	CFUE	5933.6	-0.7	1.702e-5	0.001608
SLC16A6	ENSG00000108932	CFUE	14.2	-4.1	1.04e-5	0.00162
HLA-F-AS1	ENSG00000214922	CFUE	136.2	1.6	1.99e-5	0.001632
LINC00899	ENSG00000231711	CFUE	34.2	2.9	2.06e-5	0.001665
PKIB	ENSG00000135549	CFUE	12.1	-3.7	1.123e-5	0.001719
BAD	ENSG00000002330	CFUE	759.6	1.5	1.839e-5	0.001785
LINC01140	ENSG00000267272	CFUE	49.6	-2.8	2.909e-5	0.001796
MTCL1	ENSG00000168502	CFUE	142.9	2.2	2.288e-5	0.001825
FAT1	ENSG00000083857	CFUE	377	-2.3	2.316e-5	0.001863
STAB1	ENSG00000010327	CFUE	128.2	-4.2	2.883e-5	0.001915
SLC46A3	ENSG00000139508	CFUE	220.7	1.5	3.17e-5	0.001915
LINC01684	ENSG00000237484	CFUE	8.6	3.8	5.252e-6	0.001922
NKG7	ENSG00000105374	CFUE	158	-3	3.365e-5	0.002
ST3GAL5	ENSG00000115525	CFUE	92.6	-2.3	2.55e-5	0.002
TCN1	ENSG00000134827	CFUE	31.3	2.8	2.571e-5	0.002002
SERPINE2	ENSG00000135919	CFUE	1425.2	1.7	1.447e-5	0.002008
ACVR2B	ENSG00000114739	CFUE	396	-1.1	2.804e-5	0.002012
STARD13	ENSG00000133121	CFUE	15.6	-2.2	1.724e-5	0.002049
HOXA10	ENSG00000253293	CFUE	468.2	1.5	2.688e-5	0.00205
LEF1	ENSG00000138795	CFUE	317	-2.3	2.744e-5	0.002053
JAK3	ENSG00000105639	CFUE	602.3	-2	2.318e-5	0.002076
C1RL-AS1	ENSG00000205885	CFUE	60.4	-1.5	3.783e-5	0.002156
RASGRP4	ENSG00000171777	CFUE	350.3	-1.5	2.937e-5	0.002194
TMEM229B	ENSG00000198133	CFUE	152	1.8	3.064e-5	0.002268
RPL23AP1	ENSG00000239257	CFUE	99.2	3.1	4.04e-5	0.002268
AC139769.1	ENSG00000233836	CFUE	75.7	-1.2	3.296e-5	0.002391
MOB3B	ENSG00000120162	CFUE	819.9	-1.7	2.608e-5	0.002401
TSPYL5	ENSG00000180543	CFUE	223.9	-1.2	3.393e-5	0.002437
PRTG	ENSG00000166450	CFUE	40	-3.4	3.441e-5	0.002459
SAMHD1	ENSG00000101347	CFUE	567	-1.7	3.426e-5	0.002471
PLB1	ENSG00000163803	CFUE	43.1	-3.7	3.526e-5	0.002495
NLRC4	ENSG00000091106	CFUE	18.5	-2.7	2.3e-5	0.002501
TMEM71	ENSG00000165071	CFUE	54.2	-2.8	3.668e-5	0.002546
PADI2	ENSG00000117115	CFUE	39.2	-4.2	3.675e-5	0.002563
MISP3	ENSG00000141854	CFUE	99.6	1.5	3.675e-5	0.002563
PEG3	ENSG00000198300	CFUE	67.3	-1.5	3.719e-5	0.002563
LINC01515	ENSG00000228065	CFUE	45.3	-2.6	3.717e-5	0.002563
RPL17P34	ENSG00000213432	CFUE	31.3	1.2	3.795e-5	0.002597
PLSCR4	ENSG00000114698	CFUE	1050.7	1.3	3.228e-5	0.002706
NEFH	ENSG00000100285	CFUE	543.9	-1.4	3.961e-5	0.00271
ST6GAL2	ENSG00000144057	CFUE	57.7	3.3	5.218e-5	0.00271
AIF1	ENSG00000204472	CFUE	2158.4	-1.9	3.32e-5	0.002745
PTAFR	ENSG00000169403	CFUE	259.9	-1.7	4.187e-5	0.002772
S100B	ENSG00000160307	CFUE	17.2	-4.4	2.576e-5	0.00279
IMPA2	ENSG00000141401	CFUE	1388.9	1.2	3.549e-5	0.002825
AL121758.1	ENSG00000270299	CFUE	18.2	-34.5	2.916e-5	0.002825
ZBTB7A	ENSG00000178951	CFUE	8540.8	1.1	3.65e-5	0.002882
TNFRSF9	ENSG00000049249	CFUE	9.5	-3.1	2.423e-5	0.002974
RBFOX2	ENSG00000100320	CFUE	251.8	-1	4.501e-5	0.002974
PURA	ENSG00000185129	CFUE	1354.5	0.6	3.946e-5	0.003073
POMGNT2	ENSG00000144647	CFUE	1383.3	1	3.78e-5	0.003107
ARPP21	ENSG00000172995	CFUE	15.8	-4.1	3.189e-5	0.00316
FTH1P3	ENSG00000213453	CFUE	200.9	2	4.977e-5	0.003179
CD33	ENSG00000105383	CFUE	289.8	-2.1	5.939e-5	0.00318
HPGD	ENSG00000164120	CFUE	440.4	-2.2	5.58e-5	0.00318
ZNF333	ENSG00000160961	CFUE	456.1	-0.7	5.413e-5	0.003222
DPP10	ENSG00000175497	CFUE	53.3	-2.7	5.272e-5	0.00325
RCSD1	ENSG00000198771	CFUE	1281	-1.6	2.856e-5	0.00325
AC090559.1	ENSG00000255197	CFUE	198.7	-3.3	6.179e-5	0.00325
C1orf115	ENSG00000162817	CFUE	25.1	3.2	3.875e-5	0.003529
DUXAP9	ENSG00000225210	CFUE	6.3	7.4	1.328e-5	0.003662
NCS1	ENSG00000107130	CFUE	2341	1.4	3.509e-5	0.003916
ATR	ENSG00000175054	CFUE	881	-0.7	5.294e-5	0.003987
CA1	ENSG00000133742	CFUE	18358.9	2.8	5.846e-5	0.004053
PLAG1	ENSG00000181690	CFUE	636.5	-1.1	3.758e-5	0.004125
LRRC37A4P	ENSG00000214425	CFUE	665.2	-2.2	3.759e-5	0.004125
PRRT1	ENSG00000204314	CFUE	86.5	1.3	9.001e-5	0.004134
PRRT1	ENSG00000204314	CFUE	86.5	1.3	9.001e-5	0.004134
TMEM238	ENSG00000233493	CFUE	17.5	2.6	4.393e-5	0.004134
TWSG1	ENSG00000128791	CFUE	1452.2	0.7	5.489e-5	0.004159
MAP2K2	ENSG00000126934	CFUE	13023.7	0.8	5.778e-5	0.004209
BORCS6	ENSG00000196544	CFUE	483.3	1.1	7.868e-5	0.004378
SMARCC1	ENSG00000173473	CFUE	7279.4	-0.5	6.884e-5	0.004598
UTP20	ENSG00000120800	CFUE	1622.4	-0.8	6.554e-5	0.004609
GPRIN3	ENSG00000185477	CFUE	35.6	-2.9	8.166e-5	0.004709
HBQ1	ENSG00000086506	CFUE	3462	1.8	6.437e-5	0.00476
MYRF	ENSG00000124920	CFUE	56.9	-1.4	1.011e-4	0.004912
AC005261.6	ENSG00000279541	CFUE	28.4	-2.4	5.229e-5	0.004912
IRF4	ENSG00000137265	CFUE	29.5	-4.6	8.892e-5	0.005034
ZNF704	ENSG00000164684	CFUE	144.1	-1.5	1.146e-4	0.005034
NMNAT1	ENSG00000173614	CFUE	222.8	-0.5	8.877e-5	0.005046
KIAA0895	ENSG00000164542	CFUE	121.7	1.1	8.789e-5	0.005047
RAB6C	ENSG00000222014	CFUE	11.3	21.1	4.207e-5	0.005116
MYH14	ENSG00000105357	CFUE	18.6	6.1	6.297e-5	0.005179
DPP4	ENSG00000197635	CFUE	32.6	-3	9.341e-5	0.005179
ODF2	ENSG00000136811	CFUE	3118.8	-0.6	5.168e-5	0.005233
B3GNT9	ENSG00000237172	CFUE	39.5	1.7	1.235e-4	0.00528
BEND7	ENSG00000165626	CFUE	96.4	3.5	9.826e-5	0.005492
MSRB3	ENSG00000174099	CFUE	793.9	1.4	7.79e-5	0.005492
ASIC4	ENSG00000072182	CFUE	103.7	-2.9	1.191e-4	0.005502
DTX4	ENSG00000110042	CFUE	30.1	-2.8	1.191e-4	0.005502
ITGA3	ENSG00000005884	CFUE	32.6	3.3	1.002e-4	0.005516
SLC7A7	ENSG00000155465	CFUE	35.4	-2.1	1.024e-4	0.005516
EGLN2	ENSG00000269858	CFUE	6687.8	0.6	8.537e-5	0.005683
PRKCA	ENSG00000154229	CFUE	210.7	-1.1	1.372e-4	0.005688
GGT5	ENSG00000099998	CFUE	34.8	-2.8	1.063e-4	0.005704
LILRA6	ENSG00000244482	CFUE	32.3	-5.2	1.085e-4	0.005749
